model_id,synthetic_clean_dice,synthetic_clean_cldice,synthetic_mean_stressor_dice,synthetic_mean_stressor_cldice,synthetic_min_stressor_dice,synthetic_min_stressor_cldice,synthetic_mean_stressor_dice_delta_vs_clean,dias_all_frame_mean_dice,dias_all_frame_mean_cldice,dias_min_frame_dice,dias_min_frame_cldice,dias_prediction_nonempty_rate,dias_frame_thinning_severity2_dice_delta_vs_severity0,dias_contrast_phase_severity2_dice_delta_vs_severity0
medsam_vit_b,0.25539705183071804,0.23318951733744522,0.25539705183071804,0.23318951733744522,0.25539705183071804,0.23318951733744522,0.0,0.21987694265341434,0.18369510066663222,0.21987694265341434,0.18369510066663222,1.0,0.0,0.0
sam_vit_b,0.9810482128526452,0.9990412272291467,0.9810482128526452,0.9990412272291467,0.9810482128526452,0.9990412272291467,0.0,0.20884762975999335,0.2604164433232135,0.20884762975999335,0.2604164433232135,1.0,0.0,0.0
sam_vit_l,0.9751922599851154,0.9980806142034548,0.9751922599851154,0.9980806142034548,0.9751922599851154,0.9980806142034548,0.0,0.17988978102299719,0.184709104874551,0.17988978102299719,0.184709104874551,1.0,0.0,0.0
