model_id,cathaction_sample_mean_dice,cathaction_sample_mean_cldice,cathaction_sample_min_dice,cathaction_sample_min_cldice,cathaction_prediction_nonempty_rate,cathaction_sample_mean_area_ratio
medsam_vit_b,0.08171376281972836,0.05782871432914471,0.00042762454564892024,0.0,1.0,9.189745959484494
sam_vit_b,0.4306847770758381,0.4664245104382771,0.040098922451863625,0.023240241068263282,1.0,9.462109424317656
sam_vit_l,0.32971383702509893,0.32704955886426146,0.048502986900393105,0.0,1.0,9.309671533223394
