model_id,family,severity,subset_label,frame_indices,retained_frame_count,mean_dice,mean_cldice,min_dice,min_cldice,dice_delta_vs_family_severity0,cldice_delta_vs_family_severity0
sam_vit_b,frame_thinning,0,all_frames,[0],1,0.20884762975999335,0.2604164433232135,0.20884762975999335,0.2604164433232135,0.0,0.0
sam_vit_b,frame_thinning,1,stride_2_frames,[0],1,0.20884762975999335,0.2604164433232135,0.20884762975999335,0.2604164433232135,0.0,0.0
sam_vit_b,frame_thinning,2,stride_3_frames,[0],1,0.20884762975999335,0.2604164433232135,0.20884762975999335,0.2604164433232135,0.0,0.0
sam_vit_b,contrast_phase,0,all_frames,[0],1,0.20884762975999335,0.2604164433232135,0.20884762975999335,0.2604164433232135,0.0,0.0
sam_vit_b,contrast_phase,1,early_late_edge_frames,[0],1,0.20884762975999335,0.2604164433232135,0.20884762975999335,0.2604164433232135,0.0,0.0
sam_vit_b,contrast_phase,2,lowest_intensity_frame,[0],1,0.20884762975999335,0.2604164433232135,0.20884762975999335,0.2604164433232135,0.0,0.0
medsam_vit_b,frame_thinning,0,all_frames,[0],1,0.21987694265341434,0.18369510066663222,0.21987694265341434,0.18369510066663222,0.0,0.0
medsam_vit_b,frame_thinning,1,stride_2_frames,[0],1,0.21987694265341434,0.18369510066663222,0.21987694265341434,0.18369510066663222,0.0,0.0
medsam_vit_b,frame_thinning,2,stride_3_frames,[0],1,0.21987694265341434,0.18369510066663222,0.21987694265341434,0.18369510066663222,0.0,0.0
medsam_vit_b,contrast_phase,0,all_frames,[0],1,0.21987694265341434,0.18369510066663222,0.21987694265341434,0.18369510066663222,0.0,0.0
medsam_vit_b,contrast_phase,1,early_late_edge_frames,[0],1,0.21987694265341434,0.18369510066663222,0.21987694265341434,0.18369510066663222,0.0,0.0
medsam_vit_b,contrast_phase,2,lowest_intensity_frame,[0],1,0.21987694265341434,0.18369510066663222,0.21987694265341434,0.18369510066663222,0.0,0.0
sam_vit_l,frame_thinning,0,all_frames,[0],1,0.17988978102299719,0.184709104874551,0.17988978102299719,0.184709104874551,0.0,0.0
sam_vit_l,frame_thinning,1,stride_2_frames,[0],1,0.17988978102299719,0.184709104874551,0.17988978102299719,0.184709104874551,0.0,0.0
sam_vit_l,frame_thinning,2,stride_3_frames,[0],1,0.17988978102299719,0.184709104874551,0.17988978102299719,0.184709104874551,0.0,0.0
sam_vit_l,contrast_phase,0,all_frames,[0],1,0.17988978102299719,0.184709104874551,0.17988978102299719,0.184709104874551,0.0,0.0
sam_vit_l,contrast_phase,1,early_late_edge_frames,[0],1,0.17988978102299719,0.184709104874551,0.17988978102299719,0.184709104874551,0.0,0.0
sam_vit_l,contrast_phase,2,lowest_intensity_frame,[0],1,0.17988978102299719,0.184709104874551,0.17988978102299719,0.184709104874551,0.0,0.0
